id;timestamp;value;meter_port_id;created;last_modified
83173671;2015-09-21 03:33:19.55+02;24000;31;2015-09-21 03:33:19.627614+02;2015-09-21 03:33:19.627644+02
83173670;2015-09-21 03:33:19.55+02;30254000;30;2015-09-21 03:33:19.585669+02;2015-09-21 03:33:19.5857+02
83173686;2015-09-21 03:33:31.056+02;7000;29;2015-09-21 03:33:31.127579+02;2015-09-21 03:33:31.127612+02
83173688;2015-09-21 03:33:31.378+02;214000;25;2015-09-21 03:33:31.473675+02;2015-09-21 03:33:31.473706+02
83173718;2015-09-21 03:33:51.062+02;7000;29;2015-09-21 03:33:51.143779+02;2015-09-21 03:33:51.143809+02
83173717;2015-09-21 03:33:51.062+02;137518000;28;2015-09-21 03:33:51.100809+02;2015-09-21 03:33:51.10084+02
83173719;2015-09-21 03:33:51.395+02;46429405000;24;2015-09-21 03:33:51.468188+02;2015-09-21 03:33:51.468232+02
83173755;2015-09-21 03:34:11.064+02;6000;29;2015-09-21 03:34:11.161946+02;2015-09-21 03:34:11.16201+02
83173756;2015-09-21 03:34:11.381+02;46429405000;24;2015-09-21 03:34:11.421256+02;2015-09-21 03:34:11.42129+02
83173771;2015-09-21 03:34:19.55+02;24000;31;2015-09-21 03:34:19.641925+02;2015-09-21 03:34:19.641958+02
83173770;2015-09-21 03:34:19.55+02;30254000;30;2015-09-21 03:34:19.593839+02;2015-09-21 03:34:19.593876+02
83173786;2015-09-21 03:34:31.056+02;7000;29;2015-09-21 03:34:31.131362+02;2015-09-21 03:34:31.131397+02
83173788;2015-09-21 03:34:31.398+02;214000;25;2015-09-21 03:34:31.483406+02;2015-09-21 03:34:31.48344+02
83173817;2015-09-21 03:34:51.059+02;6000;29;2015-09-21 03:34:51.13075+02;2015-09-21 03:34:51.130785+02
83173856;2015-09-21 03:35:11.396+02;46429408000;24;2015-09-21 03:35:11.439819+02;2015-09-21 03:35:11.439853+02
83173870;2015-09-21 03:35:19.544+02;25000;31;2015-09-21 03:35:19.623295+02;2015-09-21 03:35:19.623331+02
83173886;2015-09-21 03:35:31.061+02;7000;29;2015-09-21 03:35:31.133332+02;2015-09-21 03:35:31.133365+02
83173887;2015-09-21 03:35:31.393+02;46429408000;24;2015-09-21 03:35:31.432924+02;2015-09-21 03:35:31.432955+02
83173932;2015-09-21 03:35:59.557+02;30254000;30;2015-09-21 03:35:59.597351+02;2015-09-21 03:35:59.597385+02
83173956;2015-09-21 03:36:11.389+02;604000;25;2015-09-21 03:36:11.463637+02;2015-09-21 03:36:11.463671+02
83173969;2015-09-21 03:36:19.544+02;30254000;30;2015-09-21 03:36:19.603045+02;2015-09-21 03:36:19.603081+02
83173986;2015-09-21 03:36:31.064+02;6000;29;2015-09-21 03:36:31.134942+02;2015-09-21 03:36:31.134976+02
83173987;2015-09-21 03:36:31.392+02;604000;25;2015-09-21 03:36:31.460804+02;2015-09-21 03:36:31.460835+02
83174032;2015-09-21 03:36:59.548+02;30254000;30;2015-09-21 03:36:59.601234+02;2015-09-21 03:36:59.601268+02
83174069;2015-09-21 03:37:19.545+02;25000;31;2015-09-21 03:37:19.638283+02;2015-09-21 03:37:19.638315+02
83174068;2015-09-21 03:37:19.545+02;30254000;30;2015-09-21 03:37:19.589487+02;2015-09-21 03:37:19.589542+02
83174086;2015-09-21 03:37:31.065+02;7000;29;2015-09-21 03:37:31.137303+02;2015-09-21 03:37:31.137336+02
83174116;2015-09-21 03:37:51.066+02;137519000;28;2015-09-21 03:37:51.103925+02;2015-09-21 03:37:51.103957+02
